,count,mean,std,min,25%,50%,75%,max,variance,missing_values,outliers_count
pixel_0,1797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
pixel_1,1797.0,0.3038397328881469,0.9071920952507534,0.0,0.0,0.0,0.0,8.0,0.8229974976854519,0,0
pixel_2,1797.0,5.204785754034502,4.754826339660731,0.0,1.0,4.0,9.0,16.0,22.608373520331465,0,0
pixel_3,1797.0,11.835837506956038,4.248841848260807,0.0,10.0,13.0,15.0,16.0,18.052657051532314,0,0
pixel_4,1797.0,11.848080133555927,4.28738800696946,0.0,10.0,13.0,15.0,16.0,18.381695922305553,0,0
pixel_5,1797.0,5.781858653311074,5.666417727450907,0.0,0.0,4.0,11.0,16.0,32.1082898619699,0,0
pixel_6,1797.0,1.3622704507512522,3.3257751860710005,0.0,0.0,0.0,0.0,16.0,11.060780588285597,0,0
pixel_7,1797.0,0.1296605453533667,1.0373828570282286,0.0,0.0,0.0,0.0,15.0,1.0761631920560502,0,0
pixel_8,1797.0,0.005564830272676683,0.09422155480814322,0.0,0.0,0.0,0.0,2.0,0.008877701390463937,0,0
pixel_9,1797.0,1.9938786867000557,3.1961604075094567,0.0,0.0,0.0,3.0,16.0,10.215441350531016,0,0
pixel_10,1797.0,10.382303839732888,5.421455625901692,0.0,6.0,12.0,15.0,16.0,29.392181103621105,0,0
pixel_11,1797.0,11.979410127991097,3.977542621880106,0.0,9.0,13.0,16.0,16.0,15.820845308872869,0,0
pixel_12,1797.0,10.279354479688369,4.782680570148732,0.0,7.0,11.0,15.0,16.0,22.874033436078197,0,0
pixel_13,1797.0,8.175848636616584,6.052960025710127,0.0,2.0,9.0,14.0,16.0,36.638325072844744,0,0
pixel_14,1797.0,1.8464106844741235,3.5863209359653294,0.0,0.0,0.0,2.0,16.0,12.861697855743238,0,0
pixel_15,1797.0,0.10795770728992765,0.8279150446454017,0.0,0.0,0.0,0.0,12.0,0.6854433211501973,0,0
pixel_16,1797.0,0.0027824151363383415,0.062368292960202604,0.0,0.0,0.0,0.0,2.0,0.0038898039667696577,0,0
pixel_17,1797.0,2.6015581524763496,3.576301267463955,0.0,0.0,1.0,4.0,16.0,12.789930755664292,0,0
pixel_18,1797.0,9.903171953255425,5.690766948591139,0.0,5.0,12.0,15.0,16.0,32.38482846317731,0,0
pixel_19,1797.0,6.9927657206455205,5.802661720976788,0.0,1.0,6.0,12.0,16.0,33.6708830480893,0,0
pixel_20,1797.0,7.09794101279911,6.17572851629557,0.0,1.0,6.0,13.0,16.0,38.13962270698628,0,0
